date,views
2015-07-01,26
2015-07-02,23
2015-07-03,19
2015-07-04,18
2015-07-05,21
2015-07-06,22
2015-07-07,27
2015-07-08,27
2015-07-09,24
2015-07-10,31
2015-07-11,22
2015-07-12,25
2015-07-13,35
2015-07-14,23
2015-07-15,30
2015-07-16,25
2015-07-17,30
2015-07-18,23
2015-07-19,19
2015-07-20,24
2015-07-21,21
2015-07-22,11
2015-07-23,15
2015-07-24,17
2015-07-25,25
2015-07-26,21
2015-07-27,23
2015-07-28,19
2015-07-29,15
2015-07-30,23
2015-07-31,18
2015-08-01,17
2015-08-02,14
2015-08-03,18
2015-08-04,19
2015-08-05,28
2015-08-06,29
2015-08-07,17
2015-08-08,23
2015-08-09,16
2015-08-10,18
2015-08-11,26
2015-08-12,41
2015-08-13,21
2015-08-14,22
2015-08-15,14
2015-08-16,29
2015-08-17,22
2015-08-18,16
2015-08-19,21
2015-08-20,19
2015-08-21,15
2015-08-22,16
2015-08-23,14
2015-08-24,12
2015-08-25,11
2015-08-26,30
2015-08-27,26
2015-08-28,18
2015-08-29,30
2015-08-30,13
2015-08-31,8
2015-09-01,8
2015-09-02,17
2015-09-03,15
2015-09-04,20
2015-09-05,19
2015-09-06,19
2015-09-07,19
2015-09-08,17
2015-09-09,20
2015-09-10,15
2015-09-11,17
2015-09-12,16
2015-09-13,16
2015-09-14,10
2015-09-15,16
2015-09-16,20
2015-09-17,7
2015-09-18,17
2015-09-19,18
2015-09-20,17
2015-09-21,16
2015-09-22,7
2015-09-23,17
2015-09-24,19
2015-09-25,17
2015-09-26,22
2015-09-27,13
2015-09-28,15
2015-09-29,13
2015-09-30,15
2015-10-01,16
2015-10-02,16
2015-10-03,20
2015-10-04,26
2015-10-05,20
2015-10-06,19
2015-10-07,25
2015-10-08,24
2015-10-09,23
2015-10-10,23
2015-10-11,21
2015-10-12,35
2015-10-13,43
2015-10-14,28
2015-10-15,51
2015-10-16,34
2015-10-17,35
2015-10-18,19
2015-10-19,13
2015-10-20,32
2015-10-21,32
2015-10-22,37
2015-10-23,30
2015-10-24,22
2015-10-25,22
2015-10-26,18
2015-10-27,17
2015-10-28,30
2015-10-29,20
2015-10-30,31
2015-10-31,15
2015-11-01,16
2015-11-02,50
2015-11-03,38
2015-11-04,38
2015-11-05,52
2015-11-06,37
2015-11-07,49
2015-11-08,41
2015-11-09,65
2015-11-10,67
2015-11-11,56
2015-11-12,39
2015-11-13,44
2015-11-14,43
2015-11-15,29
2015-11-16,35
2015-11-17,449
2015-11-18,445
2015-11-19,137
2015-11-20,119
2015-11-21,91
2015-11-22,53
2015-11-23,38
2015-11-24,56
2015-11-25,120
2015-11-26,48
2015-11-27,66
2015-11-28,38
2015-11-29,216
2015-11-30,63
2015-12-01,45
2015-12-02,42
2015-12-03,60
2015-12-04,83
2015-12-05,31
2015-12-06,52
2015-12-07,71
2015-12-08,354
2015-12-09,63
2015-12-10,48
2015-12-11,40
2015-12-12,92
2015-12-13,99
2015-12-14,49
2015-12-15,50
2015-12-16,34
2015-12-17,47
2015-12-18,50
2015-12-19,283
2015-12-20,150
2015-12-21,72
2015-12-22,63
2015-12-23,354
2015-12-24,552
2015-12-25,81
2015-12-26,894
2015-12-27,149
2015-12-28,140
2015-12-29,135
2015-12-30,164
2015-12-31,102
2016-01-01,119
2016-01-02,250
2016-01-03,1136
2016-01-04,705
2016-01-05,30460
2016-01-06,2853
2016-01-07,1161
2016-01-08,810
2016-01-09,871
2016-01-10,979
2016-01-11,486
2016-01-12,351
2016-01-13,482
2016-01-14,1336
2016-01-15,491
2016-01-16,1669
2016-01-17,732
2016-01-18,552
2016-01-19,3954
2016-01-20,725
2016-01-21,910
2016-01-22,420
2016-01-23,3286
2016-01-24,1268
2016-01-25,481
2016-01-26,692
2016-01-27,2664
2016-01-28,2232
2016-01-29,1552
2016-01-30,7535
2016-01-31,16453
2016-02-01,2631
2016-02-02,5072
2016-02-03,2436
2016-02-04,1076
2016-02-05,679
2016-02-06,851
2016-02-07,1251
2016-02-08,440
2016-02-09,8269
2016-02-10,1781
2016-02-11,1438
2016-02-12,1085
2016-02-13,9002
2016-02-14,3847
2016-02-15,1101
2016-02-16,1084
2016-02-17,1084
2016-02-18,1321
2016-02-19,630
2016-02-20,2178
2016-02-21,2149
2016-02-22,677
2016-02-23,577
2016-02-24,643
2016-02-25,745
2016-02-26,536
2016-02-27,1401
2016-02-28,849
2016-02-29,465
2016-03-01,549
2016-03-02,2199
2016-03-03,719
2016-03-04,450
2016-03-05,1010
2016-03-06,889
2016-03-07,699
2016-03-08,652
2016-03-09,516
2016-03-10,597
2016-03-11,5182
2016-03-12,4113
2016-03-13,1838
2016-03-14,2596
2016-03-15,2014
2016-03-16,1632
2016-03-17,2032
2016-03-18,7492
2016-03-19,3390
2016-03-20,22031
2016-03-21,14357
2016-03-22,3930
2016-03-23,3102
2016-03-24,5252
2016-03-25,16711
2016-03-26,27668
2016-03-27,63391
2016-03-28,21949
2016-03-29,13446
2016-03-30,11589
2016-03-31,10179
2016-04-01,9515
2016-04-02,32824
2016-04-03,20134
2016-04-04,5744
2016-04-05,4655
2016-04-06,2072
2016-04-07,1322
2016-04-08,2253
2016-04-09,3847
2016-04-10,1334
2016-04-11,1062
2016-04-12,918
2016-04-13,717
2016-04-14,980
2016-04-15,773
2016-04-16,695
2016-04-17,938
2016-04-18,738
2016-04-19,647
2016-04-20,639
2016-04-21,546
2016-04-22,491
2016-04-23,517
2016-04-24,528
2016-04-25,533
2016-04-26,503
2016-04-27,492
2016-04-28,472
2016-04-29,573
2016-04-30,473
2016-05-01,487
2016-05-02,472
2016-05-03,481
2016-05-04,466
2016-05-05,474
2016-05-06,418
2016-05-07,440
2016-05-08,585
2016-05-09,497
2016-05-10,463
2016-05-11,481
2016-05-12,804
2016-05-13,763
2016-05-14,663
2016-05-15,636
2016-05-16,737
2016-05-17,1112
2016-05-18,6737
2016-05-19,1713
2016-05-20,1194
2016-05-21,1156
2016-05-22,978
2016-05-23,802
2016-05-24,711
2016-05-25,613
2016-05-26,626
2016-05-27,716
2016-05-28,781
2016-05-29,707
2016-05-30,650
2016-05-31,747
2016-06-01,690
2016-06-02,674
2016-06-03,568
2016-06-04,490
2016-06-05,652
2016-06-06,611
2016-06-07,632
2016-06-08,566
2016-06-09,633
2016-06-10,737
2016-06-11,892
2016-06-12,796
2016-06-13,1265
2016-06-14,2221
2016-06-15,2115
2016-06-16,1092
2016-06-17,1108
2016-06-18,2019
2016-06-19,3371
2016-06-20,2242
2016-06-21,2856
2016-06-22,4470
2016-06-23,9317
2016-06-24,45003
2016-06-25,11145
2016-06-26,6330
2016-06-27,4687
2016-06-28,3489
2016-06-29,2879
2016-06-30,2425
2016-07-01,2061
2016-07-02,2033
2016-07-03,1868
2016-07-04,1917
2016-07-05,2325
2016-07-06,1925
2016-07-07,1667
2016-07-08,1459
2016-07-09,4345
2016-07-10,2022
2016-07-11,2336
2016-07-12,2744
2016-07-13,1558
2016-07-14,2302
2016-07-15,1489
2016-07-16,1387
2016-07-17,1347
2016-07-18,1102
2016-07-19,1098
2016-07-20,970
2016-07-21,1092
2016-07-22,1098
2016-07-23,876
